deutsch,english
unterstützen,support
Auge,Eye
Risiko,risk
allgemeinen,general
verdient,earned
Tor,Goal
Finanzminister,Finance Minister
Maria,Mary
behauptet,claims
Rücktritt,resignation
schwarzen,black
bewegen,move
Immerhin,Anyway
plus,plus
mögliche,possible
passiert,happened
Angesichts,Given
betroffen,affected
durchgeführt,carried out
entsteht,arises
Vorwürfe,Allegations
näher,closer
bekam,got
Aussage,Statement
Verfassung,Constitution
Helmut Kohl,Helmut Kohl
Bewohner,residents
vorhanden,available
richtige,correct
übrigens,by the way
Kommunen,municipalities
Städten,cities
Werner,Werner
verfügt,has
Filme,Films
Tabelle,Table
historischen,historical
Werbung,Advertising
fragt,asks
Gegenteil,Opposite
Fischer,Fischer
Gegensatz,contrast
Bauern,farmers
Arzt,Physician
Leitung,Line
voraussichtlich,expected
Dieter,Dieter
besondere,special
Abgeordneten,Members of Parliament
sehe,see
DIE,THE
Arbeiter,workers
Beschluß,Decision
festgenommen,arrested
Ermittlungen,Investigations
Minute,minute
Anzahl,Number
Willen,will
Ruf,Call
aktiv,active
Zwischen,Between
Karlsruhe,Karlsruhe
einiger,some
westlichen,western
Schweden,Sweden
technischen,technical
verwenden,use
Vorwurf,Allegation
zwanzig,twenty
the,the
höheren,higher
offiziell,officially
tief,deep
in der Regel,usually
Du,You
Ausbau,Expansion
Auswahl,Selection
Voraussetzung,Requirement
Wissenschaft,Science
richtigen,correct
schien,seemed
festgelegt,determined
Bilanz,balance sheet
erhöhen,increase
kurzem,short
Fast,Almost
Gang,aisle
vorerst,for now
Hände,hands
wirken,works
Vertrauen,Trust
denkt,thinks
lösen,solve
Positionen,Positions
zählen,to count
Veränderungen,Changes
besitzt,owns
Alternative,alternative
Falle,trap
Entwurf,Draft
Ziele,Goals
sichern,secure
ernst,serious
positiv,positive
Tat,act
ermöglicht,enables
Ideen,ideas
Damals,At that time
ausgeschlossen,excluded
Änderung,the change
Ebene,level
äußerst,extremely
Lager,Storage
zweimal,twice
Brandenburg,Brandenburg
Tür,door
dringend,urgent
Regisseur,director
Wechsel,Change
Begründung,Reason
alter,age
Wirklichkeit,reality
Pfennig,pfennig
fehlen,miss
links,left
Summe,sum
Aktivitäten,Activities
Erinnerung,Memory
Zugang,Access
II,II
praktisch,practical
geöffnet,open
Leipzig,Leipzig
Frank,Frank
Strecke,Route
japanischen,Japanese
fährt,drives
Wende,turn
Herz,Heart
Autoren,authors
fürs,for
übrigen,other
Andere,Other
Ausgabe,output
Fußball,football
Kölner,Cologne
kritisierte,criticized
Projekte,Projects
versteht,understands
Stil,style
letztlich,ultimately
Aussagen,Testify
Oberbürgermeister,Mayor
herum,around
Bundeswehr,German Armed Forces
Verständnis,Understanding
steigt,rises
kämpfen,battle
zugunsten,in favor
glaube,believe
Fraktion,fraction
Posten,Position
Dorf,Village
Post,post
unmittelbar,directly
Bruder,Brother
außen,outside
welcher,which
Dagegen,Against it
Rang,Rank
Trotzdem,Despite it
Krankheit,Illness
Heinz,Heinz
eingerichtet,furnished
Auswirkungen,Effects
Strom,Electricity
bloß,just
Auseinandersetzung,dispute
zumal,especially since
Struktur,structure
Linie,line
Felder,fields
Ministerpräsidenten,Prime Minister
dient,serves
Clinton,Clinton
wußte,knew
falls,if
entstand,arose
Herrn,Mr.
Autofahrer,drivers
Information,information
Erwartungen,Expectations
Sitz,seat
definiert,defined
warf,threw
Fusion,fusion
Untersuchungen,Investigations
gaben,gave
verlor,lost
los,go
daraufhin,thereupon
Zinsen,Interest charges
scheinen,seem
Sowjetunion,Soviet Union
Büro,Office
angenommen,assumed
Ursache,Caused
Steuern,Steer
fühlen,feel
Anlagen,Facilities
Jürgen,Jürgen
Franzosen,French
allzu,too
liege,lie
verteilt,distributed
soviel,so much
Jelzin,Yeltsin
Landtag,State Parliament
Nürnberg,Nuremberg
Ab,Away
Bereichen,areas
stammt,origins
Service,service
künftigen,future
Kino,cinema
Behörde,authority
gehandelt,traded
Nutzung,use
ausgerechnet,of all things
Interview,interview
Wissen,To know
zuerst,first
aufgefordert,requested
Gewerkschaft,union
davor,before
Ausnahme,Exception
Erhöhung,increase
wächst,grows
gearbeitet,worked
Rechte,right
eins,one
unterschiedlichen,different
Walter,Walter
geradezu,practically
wirft,throws
international,international
Zug,Train
erreichte,reached
Bedarf,Requirement
erlebt,experienced
teuer,expensive
Kritiker,critic
Flucht,Escape
Klage,suit
Änderungen,Changes
u.,u.
informiert,informed
geschickt,sent
Gerhard,Gerhard
erinnern,remember
Männern,men
Unternehmer,entrepreneur
klingt,sounds
Hinweise,Notes
kräftig,strong
fort,continued
rein,pure
eigenes,own
Immer,Always
spät,late
Eröffnung,opening
Beratung,Advice
Franz,Franz
Gefängnis,Jail
städtischen,urban
angezeigt,displayed
rasch,quickly
vorgestellt,presented
erfüllen,fulfill
freie,free
fertig,complete
Haushalt,Household
berücksichtigt,taken into account
Dadurch,Through this
schlagen,hit
Direktor,director
Realität,reality
Falls,If
B,B
Schreiben,Write
Sender,Sender
Provinz,province
Job,job
festgestellt,noted
Standort,Location
Beruf,Profession
gestorben,died
voraus,in advance
gesucht,wanted
überwiegend,mostly
Stellung,position
Einigung,agreement
Vorschläge,Suggestions
Texte,Texts
fühlt,feel
Schuld,Fault
leichter,lighter
vierten,fourth
Halbjahr,half-year
Rücken,Back
Innenminister,Interior Minister
Karten,maps
halben,half
betrachtet,considered
schlug,hit
geschehen,happen
Zeitraum,Period
vermeiden,avoid
stattfinden,take place
prüfen,check
unterdessen,meanwhile
ausländischen,foreign
vieler,many
Formen,forms
Tore,Goals
starb,died
Regeln,Regulate
Einrichtungen,Facilities
Umfang,Scope
fragen,questions
Konflikt,conflict
Vereinigung,Association
Vier,Four
Je,Each
Teilen,Split
Vorsitzenden,Chairman
Voraussetzungen,Requirements
Plätze,places
beraten,advise
Einwohner,Resident
Verluste,losses
rechten,right
zugeordnet,assigned
tausend,thousand
gerechnet,calculated
offenen,open
warnte,warned
verbessern,improve
unterwegs,on the way
führenden,leading
Hauses,house
Anbieter,Provider
übernimmt,takes over
diskutiert,discussed
Herren,Men
Anstieg,increase
ausländische,foreign
Objekte,objects
Geschichten,Stories
versuchte,attempted
bisherige,previous
beschreibt,describes
Etwa,Approximately
Hof,Courtyard
Serie,series
allem,all
Unterschied,Difference
weißen,white
türkischen,Turkish
Revolution,revolution
Personal,staff
hilft,helps
Karl,Karl
Gründung,Founding
Martin,Martin
verboten,forbidden
verhindert,prevented
nahmen,took
Lust,Desire
Schauspieler,Actor
Fahrt,Drive
Veranstalter,organizer
begründet,justified
Wahlkampf,election campaign
Auftritt,performance
guter,goods
gutes,good
ARD,ARD
Dichter,poet
Vorbild,Example
finanziellen,financial
Allianz,alliance
zerstört,destroyed
hart,hard
rief,called
Einnahmen,revenue
ermöglichen,make possible
einig,some
Beamte,officer
and,and
gelingt,succeed
in erster Linie,primarily
Status,status
gefährdet,endanger
Vorteil,Advantage
Strukturen,Structures
rechts,right
staatliche,state
Kooperation,cooperation
Spiele,Games
Kräfte,Forces
persönlich,personal
wachsen,grow
Atmosphäre,atmosphere
Landesregierung,State government
wann,When
Angriff,attack
Müller,Müller
Regionen,Regions
Dresden,Dresden
besetzt,occupied
technische,technical
Plus,Plus
Darüber hinaus,Over and beyond
gesichert,secured
besonderen,special
gehörte,belonged
verspricht,promises
vergeben,forgive
traf,met
a,a
wonach,after which
Inhalt,Contents
Vorhaben,Plan
plant,plans
Galerie,gallery
Horst,horst
Protest,protest
Urlaub,Vacation
gelassen,relaxed
Traum,Dream
Geben,Give
steckt,is
Leuten,people
bestimmen,determine
mehrfach,multiple times
Sollte,Should
Tätigkeit,Task
wesentlichen,essential
Josef,Joseph
Alexander,Alexander
beteiligen,participate
unabhängig,independent
finanzielle,financial
Anwalt,Attorney
Veranstaltungen,Events
überraschend,surprisingly
gescheitert,failed
offiziellen,official
pflegen,maintain
roten,redden
bildet,forms
solange,as long as
Erfolge,Successes
schließt,closes
Helmut,Helmut
Innenstadt,city ​​center
Junge,Boy
Mitteln,Means
Peking,Beijing
aufgebaut,built
Zeitungen,Newspapers
Becker,Becker
politischer,political
Wähler,voters
Software,software
demnächst,soon
Konsequenzen,Consequences
Wird,Becomes
erzeugt,generated
retten,save
unterschiedliche,different
veröffentlicht,published
höchsten,highest
stimmt,true
Reaktion,reaction
Bernd,Bernd
halte,hold
reduziert,reduced
moderne,modern
mache,make
M.,M.
Rückgang,decline
schwierig,difficult
produziert,produced
Ausgaben,expenditure
hört,hears
Kassen,cash registers
Tokio,Tokyo
General,general
schloß,lock
Günter,Günter
deswegen,because of this
organisiert,organized
ZDF,ZDF
Methode,method
persönlichen,personal
Sorge,Worries
Sorgen,Care for
verfolgt,pursued
Ungarn,Hungary
Nato,NATO
Messe,Fair
israelischen,Israeli
vollständig,complete
Figuren,Figures
kurzen,short
Fest,Firmly
bosnischen,Bosnian
welchen,which
Angeklagten,Defendant
Höhepunkt,Highlight
künftige,future
finanziert,financed
aktuelle,current
zeigten,showed
bekannten,known
spätestens,at latest
Strategie,strategy
vorgeworfen,accused
bemüht,engaged
sorgt,ensures
Rat,Council
meinem,my
Neuen,New
Ostdeutschland,East Germany
gegenwärtig,currently
benötigt,needed
Spur,track
Ball,ball
Finale,final
keinem,none
schöne,beautiful
reagiert,Reacts
Manfred,Manfred
schützen,protect
Ernst,Serious
stammen,origin
Rande,Edge
Schatten,Shadow
verbessert,improved
jüdischen,Jewish
positive,positive
manchen,some
entlassen,dismissed
Phase,phase
Vorgang,Occurrence
Asien,Asia
eng,closely
halbe,half
beziehungsweise,or
Vereinigten Staaten,United States
Gemeinschaft,community
Abschnitt,Section
Verbrechen,crime
dank,thanks to
Geist,Spirit
tot,dead
eingeführt,introduced
berichten,report
anlegen,invest
Kirchen,churches
Funktionen,functions
Sanierung,Renovation
Arbeitsplatz,workplace
Sieger,winner
Aktionen,Actions
vorgelegt,submitted
verabschiedet,adopted
Wind,wind
vorbereitet,prepared
Fahrzeuge,vehicles
Kurse,courses
untersucht,examined
durfte,was allowed
u.a.,among others
Maschinen,machines
Unsere,Our
ausgelöst,triggered
Indien,India
Haft,Detention
bewegt,moves
Zweck,Purpose
Währung,currency
bitte,please
Jahrzehnten,decades
Wald,Forest
wichtigste,most important
Zimmer,Room
Verlauf,Course
ausgesetzt,exposed
Prüfung,Test
Verwendung,use
kurze,short
Zunächst,First
Blut,blood
Anwendung,Application
Anhänger,Trailer
Aufnahme,Recording
Sammlung,collection
benutzt,used
Angebote,Offers
Einstellung,Attitude
Umsetzung,Implementation
Dach,Roof
Irak,Iraq
gezwungen,forced
Premiere,premiere
AP,AP
hoher,higher
starten,start
Kasse,Checkout
Nichts,Nothing
Hektar,Hectares
persönliche,personal
Paul,Paul
Termin,appointment
gemeldet,reported
entwickelte,developed
Tatsächlich,Actually
Kontakte,Contacts
anbieten,offer
Räume,Rooms
Abgeordnete,Members of Parliament
stellten,posed
Regierungschef,Head of government
menschlichen,human
Abbau,dismantling
meldete,reported
Ton,clay
Unfall,Accident
Touristen,Tourists
englischen,English
Abkommen,Agreement
erfaßt,recorded
Solche,Such
Metern,meters
selbstverständlich,of course
Stiftung,Foundation
Existenz,existence
Zeugen,Witnesses
Gold,Gold
Absicht,Intention
Objekt,object
Anders,Different
Anklage,Indictment
Verbraucher,consumer
funktioniert,functions
Großen,Large
bestehenden,existing
Einkommen,income
beider,at the
sinnvoll,sensible
Abstimmung,vote
liefern,delivery
schafft,creates
Ecke,Corner
Siemens,Siemens
Gutachten,Appraise
Version,version
Kennzeichen,mark
Konferenz,conference
Pariser,Parisian
Bundesliga,Bundesliga
erhebliche,significant
erfolgen,take place
traditionellen,traditional
Dialog,dialog
Dutzend,dozen
abhängig,dependent
hängen,hang
ausgegeben,issued
Bedenken,Consider
ergibt,results
einschließlich,including
Konkurrenten,competitors
Iran,Iran
vermutet,suspected
aufnehmen,to record
verzichtet,waived
bundesweit,nationwide
bekannte,acquaintance
betroffenen,affected
befürchten,fear
Bekl,Dec
Anerkennung,recognition
Ehe,Before
liest,reads
Gast,Guest
damaligen,then
Wiener,Viennese
genügend,enough
ersetzt,replaces
Vereine,Clubs
beobachtet,observed
notwendigen,necessary
verdienen,earn
niemals,never
Brand,fire
verstanden,understood
stolz,proud
reagieren,react
Laufe,run
schönen,beautiful
vorgenommen,performed
erhoben,raised
Spuren,Sense
mitten,in the middle
Reformen,Reforms
erschien,appeared
Mut,courage
grünen,green
Christian,Christian
verliert,loses
Anna,Anna
Aussicht,Outlook
andererseits,on the other hand
Staates,State
Charakter,character
Spiegel,Mirror
Analyse,analysis
Kapital,capital
Organisationen,Organizations
Beschäftigung,occupation
Herzen,hearts
einiges,some
Landwirtschaft,agriculture
bedroht,threatened
linken,left
Deutscher,German
Russen,Russians
Derzeit,Currently
stellvertretende,deputy
eingeladen,invited
verlangen,demand
langem,long
Stadtrat,City Council
Beiträge,Posts
erkannt,recognized
historische,historical
Zuschauern,spectators
trug,wore
Afrika,Africa
Schritte,Steps
höchste,highest
Mord,murder
Dortmund,Dortmund
Studium,Studies
erläutert,explains
Alltag,Everyday
Teilnahme,participation
befürchtet,fears
geschafft,done
Betrag,Amount
Nachmittag,Afternoon
solches,such
Betroffenen,Affected
ausdrücklich,expressly
jenen,those
präsentieren,present
Bildern,images
Fläche,Area
Berichte,Reports
Wiesbaden,Wiesbaden
klassischen,classic
heftig,violent
äußerte,expressed
Gewinne,profits
Gesprächen,conversations
klare,clear
umgesetzt,implemented
Justiz,Justice
soweit,so far
wiederholt,repeated
Bislang,So far
durchsetzen,push through
ausreichend,sufficient
endet,ends
Atlanta,Atlanta
holen,fetch
Abstand,Distance
geprägt,embossed
Nation,nation
Meer,sea
Berlins,Berlin's
keinerlei,none
aufgerufen,called
Mitgliedern,members
gewisse,certain
Programme,Programs
Musiker,musician
Unabhängigkeit,independence
einsetzen,insert
Aufträge,orders
Pflege,Care
Management,management
behaupten,claim
Bier,Beer
gewinnt,wins
Verbesserung,improvement
Jahresende,End of year
belegt,proven
besseren,better
Nachrichten,News
beschrieben,described
Zuge,Trains
SAP,SAP
Saal,room
Berufung,vocation
schwarze,black
Farbe,Color
Georg,George
Konzert,concert
Umfeld,Environment
gelernt,learned
Besitz,possession
Wand,Wall
Anforderungen,Requirements
Kabinett,cabinet
Kosovo,Kosovo
Sachsen,Saxony
Pause,pause
erstes,first
Waren,Were
Landgericht,Regional Court
Händen,hands
Integration,integration
fuhr,drove
gebeten,requested
gering,small amount
Vorlage,Template
New Yorker,New Yorker
www,www
Schloß,Lock
zuständigen,responsible
Risiken,Risks
sämtliche,all
gelegen,located
Aufklärung,enlightenment
Fünf,Five
Daher,Therefore
erleben,experience
Pflanzen,Plant
spüren,sense
feiern,celebrate
schwerer,heavier
draußen,outside
Beweis,Proof
Gewicht,Weight
umgerechnet,converted
Europäischen Union,European Union
lagen,lay
Fonds,Funds
Kompromiß,Compromise
handeln,act
Training,training
Kunde,customer
geschlagen,beaten
hinweg,a
Hochschulen,Universities
Verhältnisse,conditions
gelte,applies
Gesundheit,Health
Nachricht,News
Mein,My
junger,younger
Kapitel,Chapter
fördern,support financially
Kamera,camera
greifen,grab
hierzulande,in this country
normalen,normal
Augenblick,moment
Waigel,Waigel
werfen,throw
Verletzungen,Injuries
Äußerungen,statements
Tausende,thousands
begleitet,accompanied
üblichen,usual
Materialien,materials
Blatt,Sheet
Bereiche,areas
Abteilung,Department
Arbeitsschritt,work step
erzählen,tell
dauert,lasts
Heinrich,Heinrich
belastet,charged
Verträge,Contracts
Wetter,Weather
Keller,cellar
Farben,Colors
entlang,along
begründete,justified
Welche,Which
